reference,true_label,pred_label,description,description_tokens
7686,Gravitational,Human,"At approximately 03:00hrs, injured_person was sorting the steel dixie trays on the kicthen shelving. 
injured_person was re-arranging the trays on the bottom shelf,
Loose trays from the top shelf slid off and made impact to injured_person's neck and shoulder.","['at', 'approximately', '<time>', 'injured', 'person', 'was', 'sorting', 'the', 'steel', 'dixie', 'trays', 'on', 'the', 'kicthen', 'shelving', 'injured', 'person', 'was', 're-arranging', 'the', 'trays', 'on', 'the', 'bottom', 'shelf', 'loose', 'trays', 'from', 'the', 'top', 'shelf', 'slid', 'off', 'and', 'made', 'impact', 'to', 'injured', 'person', 's', 'neck', 'and', 'shoulder']"
32303,Gravitational,Human,As injured_person exited the cab of DT83he felt a pinch on the upper back in between his shoulder blades,"['as', 'injured', 'person', 'exited', 'the', 'cab', 'of', 'dt83he', 'felt', 'a', 'pinch', 'on', 'the', 'upper', 'back', 'in', 'between', 'his', 'shoulder', 'blades']"
44231,Gravitational,Human,"injured_person contractor (<PERS_015> from JB Contracting) sustained a back injury when he slipped from his D8 Dozer on Wednesday afternoon 17th April, about 14:00 hours.  

<PERS_015>  did not report the injury or incident to anyone at Pilbara Minerals or to his company after it happened. 

<PERS_015>  subsequently reported the incident to <PERS_016> (Pilbara Minerals) at about 7:30 am, Saturday 20th April. <PERS_016> immediately asked why he did not report the incident to Pilbara Minerals straight away after it happened, as is company policy. <PERS_015> said he did not want to make a fuss and preferred to keep it quiet.


","['injured', 'person', 'contractor', 'pers', '<num>', 'from', 'jb', 'contracting', 'sustained', 'a', 'back', 'injury', 'when', 'he', 'slipped', 'from', 'his', 'd8', 'dozer', 'on', 'wednesday', 'afternoon', '<ord>', 'april', 'about', '<time>', 'hours', 'pers', '<num>', 'did', 'not', 'report', 'the', 'injury', 'or', 'incident', 'to', 'anyone', 'at', 'pilbara', 'minerals', 'or', 'to', 'his', 'company', 'after', 'it', 'happened', 'pers', '<num>', 'subsequently', 'reported', 'the', 'incident', 'to', 'pers', '<num>', 'pilbara', 'minerals', 'at', 'about', '<time>', 'am', 'saturday', '<ord>', 'april', 'pers', '<num>', 'immediately', 'asked', 'why', 'he', 'did', 'not', 'report', 'the', 'incident', 'to', 'pilbara', 'minerals', 'straight', 'away', 'after', 'it', 'happened', 'as', 'is', 'company', 'policy', 'pers', '<num>', 'said', 'he', 'did', 'not', 'want', 'to', 'make', 'a', 'fuss', 'and', 'preferred', 'to', 'keep', 'it', 'quiet']"
3596,Gravitational,Human,"Pushing food trolley loaded with food trays through the plastic flap doors in the kitchen, a food tray has fallen off the top level of the trolley on to the employees forearm’s.","['pushing', 'food', 'trolley', 'loaded', 'with', 'food', 'trays', 'through', 'the', 'plastic', 'flap', 'doors', 'in', 'the', 'kitchen', 'a', 'food', 'tray', 'has', 'fallen', 'off', 'the', 'top', 'level', 'of', 'the', 'trolley', 'on', 'to', 'the', 'employees', 'forearm', 's']"
1954,Gravitational,Human,"Whilst working in the floatation area at 0320 and working above 235-PU-71 injured_person turned left to climb the stairway to  flot cells area injured_person left boot gripped the mesh  and felt a twinge behind the left knee. injured_person immediately felt a pop behind the knee, then some pain and burning sensation around the lower back of the knee joint.","['whilst', 'working', 'in', 'the', 'floatation', 'area', 'at', '<num>', 'and', 'working', 'above', '235-pu-71', 'injured', 'person', 'turned', 'left', 'to', 'climb', 'the', 'stairway', 'to', 'flot', 'cells', 'area', 'injured', 'person', 'left', 'boot', 'gripped', 'the', 'mesh', 'and', 'felt', 'a', 'twinge', 'behind', 'the', 'left', 'knee', 'injured', 'person', 'immediately', 'felt', 'a', 'pop', 'behind', 'the', 'knee', 'then', 'some', 'pain', 'and', 'burning', 'sensation', 'around', 'the', 'lower', 'back', 'of', 'the', 'knee', 'joint']"
12515,Human,Gravitational,"injured_person had folded up lighting plant to relocate. Due to uneven pit floor, the tow hitch was sitting too low to hook on to LV easily. 
injured_person was lifting the hitch by winding up the jockey wheel. As the weight shifted back on the lighting plant, the tow bar lifted. injured_person instinctively tried to control the tow bar movement by pushing down on the draw bar at which point he felt a pain in his upper central abdomen.","['injured', 'person', 'had', 'folded', 'up', 'lighting', 'plant', 'to', 'relocate', 'due', 'to', 'uneven', 'pit', 'floor', 'the', 'tow', 'hitch', 'was', 'sitting', 'too', 'low', 'to', 'hook', 'on', 'to', 'lv', 'easily', 'injured', 'person', 'was', 'lifting', 'the', 'hitch', 'by', 'winding', 'up', 'the', 'jockey', 'wheel', 'as', 'the', 'weight', 'shifted', 'back', 'on', 'the', 'lighting', 'plant', 'the', 'tow', 'bar', 'lifted', 'injured', 'person', 'instinctively', 'tried', 'to', 'control', 'the', 'tow', 'bar', 'movement', 'by', 'pushing', 'down', 'on', 'the', 'draw', 'bar', 'at', 'which', 'point', 'he', 'felt', 'a', 'pain', 'in', 'his', 'upper', 'central', 'abdomen']"
207,Human,Gravitational,"Non maintenance personnel using incorrect tooling to tighten bolts on DR28, the hammer slipped and bounced back contacting his mouth","['non', 'maintenance', 'personnel', 'using', 'incorrect', 'tooling', 'to', 'tighten', 'bolts', 'on', 'dr28', 'the', 'hammer', 'slipped', 'and', 'bounced', 'back', 'contacting', 'his', 'mouth']"
12222,Human,Gravitational,"At around 05:00 Tuesday 16th August whilst carrying out mobile plant inspections in South Pit, a Boilermaker Welder stepped on a rock and rolled his left knee outward.
As the morning progressed, the employee felt greater discomfort so then reported to his Supervisor. 
He was then taken to the site medic for assessment and treatment.
","['at', 'around', '<time>', 'tuesday', '<ord>', 'august', 'whilst', 'carrying', 'out', 'mobile', 'plant', 'inspections', 'in', 'south', 'pit', 'a', 'boilermaker', 'welder', 'stepped', 'on', 'a', 'rock', 'and', 'rolled', 'his', 'left', 'knee', 'outward', 'as', 'the', 'morning', 'progressed', 'the', 'employee', 'felt', 'greater', 'discomfort', 'so', 'then', 'reported', 'to', 'his', 'supervisor', 'he', 'was', 'then', 'taken', 'to', 'the', 'site', 'medic', 'for', 'assessment', 'and', 'treatment']"
12103,Human,Gravitational,"On the 12th of August at approximately 12:00pm, a contracting work crew were tasked with removing a faulty pump from the dust suppression unit in the NLO Primary Crushing hub.
The task had been previously scoped by the supervisor along with consultation from the engineer.
The work crew then developed a JHA for the pump removal from the motor subsequently identifying 1 x critical risk associated with the task, being Isolation/ lockout and had the JHA authorised by the supervisor and a representative from the PLS Projects team.
The work crew proceeded to isolate, lock and tag the equipment. The work crew conducted a Take 5 for the task. The Take 5 identified Manual Handling (Loads to be lift assessed), Noise and Dust.
Whilst proceeding to conduct the task it was identified that there maybe difficulty in removing the pump from the motor in 2 x sections as written in their JHA. 
A decision by the work crew was then made to remove the pump and motor as 1 x unit = Total combined weight was approximately 92 KG
The change in task methodology was not in consultation with the respective site supervisor nor was the change in methodology adequately risk assessed to accommodate the change in size or weight of the now combined pump and motor.
The injured_person and his teammate lifted the combined pump and motor out of the housing and were to place inside a wheelbarrow.  Whilst lowering the pump and the motor into the wheelbarrow the injured_person has pinched his Left-hand little finger between the wheelbarrow casing and the pump.
","['on', 'the', '<ord>', 'of', 'august', 'at', 'approximately', '<time>', 'a', 'contracting', 'work', 'crew', 'were', 'tasked', 'with', 'removing', 'a', 'faulty', 'pump', 'from', 'the', 'dust', 'suppression', 'unit', 'in', 'the', 'nlo', 'primary', 'crushing', 'hub', 'the', 'task', 'had', 'been', 'previously', 'scoped', 'by', 'the', 'supervisor', 'along', 'with', 'consultation', 'from', 'the', 'engineer', 'the', 'work', 'crew', 'then', 'developed', 'a', 'jha', 'for', 'the', 'pump', 'removal', 'from', 'the', 'motor', 'subsequently', 'identifying', '<num>', 'x', 'critical', 'risk', 'associated', 'with', 'the', 'task', 'being', 'isolation', 'lockout', 'and', 'had', 'the', 'jha', 'authorised', 'by', 'the', 'supervisor', 'and', 'a', 'representative', 'from', 'the', 'pls', 'projects', 'team', 'the', 'work', 'crew', 'proceeded', 'to', 'isolate', 'lock', 'and', 'tag', 'the', 'equipment', 'the', 'work', 'crew', 'conducted', 'a', 'take', '<num>', 'for', 'the', 'task', 'the', 'take', '<num>', 'identified', 'manual', 'handling', 'loads', 'to', 'be', 'lift', 'assessed', 'noise', 'and', 'dust', 'whilst', 'proceeding', 'to', 'conduct', 'the', 'task', 'it', 'was', 'identified', 'that', 'there', 'maybe', 'difficulty', 'in', 'removing', 'the', 'pump', 'from', 'the', 'motor', 'in', '<num>', 'x', 'sections', 'as', 'written', 'in', 'their', 'jha', 'a', 'decision', 'by', 'the', 'work', 'crew', 'was', 'then', 'made', 'to', 'remove', 'the', 'pump', 'and', 'motor', 'as', '<num>', 'x', 'unit', 'total', 'combined', 'weight', 'was', 'approximately', '<num>', 'kg', 'the', 'change', 'in', 'task', 'methodology', 'was', 'not', 'in', 'consultation', 'with', 'the', 'respective', 'site', 'supervisor', 'nor', 'was', 'the', 'change', 'in', 'methodology', 'adequately', 'risk', 'assessed', 'to', 'accommodate', 'the', 'change', 'in', 'size', 'or', 'weight', 'of', 'the', 'now', 'combined', 'pump', 'and', 'motor', 'the', 'injured', 'person', 'and', 'his', 'teammate', 'lifted', 'the', 'combined', 'pump', 'and', 'motor', 'out', 'of', 'the', 'housing', 'and', 'were', 'to', 'place', 'inside', 'a', 'wheelbarrow', 'whilst', 'lowering', 'the', 'pump', 'and', 'the', 'motor', 'into', 'the', 'wheelbarrow', 'the', 'injured', 'person', 'has', 'pinched', 'his', 'left-hand', 'little', 'finger', 'between', 'the', 'wheelbarrow', 'casing', 'and', 'the', 'pump']"
33418,Human,Gravitational,"injured_person had been moving a lighting plant in central stage 3,

injured_person had gone through the correct procedure while attaching lighting plant, once attached, had conducted a walk around inspection of the vehicle and lighting plant.
injured_person had then attempted to step over the draw bar of the trailer to the right-hand side, to get back in the vehicle.
This has resulted in injured_person’s right knee to make contact with the trailer brake lever, causing an abrasion to just above the right knee.

","['injured', 'person', 'had', 'been', 'moving', 'a', 'lighting', 'plant', 'in', 'central', 'stage', '<num>', 'injured', 'person', 'had', 'gone', 'through', 'the', 'correct', 'procedure', 'while', 'attaching', 'lighting', 'plant', 'once', 'attached', 'had', 'conducted', 'a', 'walk', 'around', 'inspection', 'of', 'the', 'vehicle', 'and', 'lighting', 'plant', 'injured', 'person', 'had', 'then', 'attempted', 'to', 'step', 'over', 'the', 'draw', 'bar', 'of', 'the', 'trailer', 'to', 'the', 'right-hand', 'side', 'to', 'get', 'back', 'in', 'the', 'vehicle', 'this', 'has', 'resulted', 'in', 'injured', 'person', 's', 'right', 'knee', 'to', 'make', 'contact', 'with', 'the', 'trailer', 'brake', 'lever', 'causing', 'an', 'abrasion', 'to', 'just', 'above', 'the', 'right', 'knee']"
94,Human,Gravitational,"Description: After completion of filling the drill rig with water, the water cart operator assisted the drill operator to slide the drill water tank back into position. 
Whist engaging the locking device for the tank the water cart operators hand has slipped and contacted (knocked) the left-hand side of the drill rig.","['description', 'after', 'completion', 'of', 'filling', 'the', 'drill', 'rig', 'with', 'water', 'the', 'water', 'cart', 'operator', 'assisted', 'the', 'drill', 'operator', 'to', 'slide', 'the', 'drill', 'water', 'tank', 'back', 'into', 'position', 'whist', 'engaging', 'the', 'locking', 'device', 'for', 'the', 'tank', 'the', 'water', 'cart', 'operators', 'hand', 'has', 'slipped', 'and', 'contacted', 'knocked', 'the', 'left-hand', 'side', 'of', 'the', 'drill', 'rig']"
24935,Human,Gravitational,"Driller was walking on the drill pattern this morning picking up rubbish, when he stepped onto a rock and felt a momentary shooting sensation in his lower back on the left hand side, though it was not painful or debilitating enough to stop work. 

Approx. 3-4 hours later when at Pilgan offices, the injured_person has exited the building, walked down the concrete steps onto the path, and with no fall or twist, has experienced left side lower back pain shooting down leg to his knee with a pain scale of 4-5/10.  

The injured_person proceeded to drive LV back to the drill pattern, when pain increased while driving down the ramp. When the injured_person arrived to the drill pattern, the pain had increased to 8/10.","['driller', 'was', 'walking', 'on', 'the', 'drill', 'pattern', 'this', 'morning', 'picking', 'up', 'rubbish', 'when', 'he', 'stepped', 'onto', 'a', 'rock', 'and', 'felt', 'a', 'momentary', 'shooting', 'sensation', 'in', 'his', 'lower', 'back', 'on', 'the', 'left', 'hand', 'side', 'though', 'it', 'was', 'not', 'painful', 'or', 'debilitating', 'enough', 'to', 'stop', 'work', 'approx', '3-4', 'hours', 'later', 'when', 'at', 'pilgan', 'offices', 'the', 'injured', 'person', 'has', 'exited', 'the', 'building', 'walked', 'down', 'the', 'concrete', 'steps', 'onto', 'the', 'path', 'and', 'with', 'no', 'fall', 'or', 'twist', 'has', 'experienced', 'left', 'side', 'lower', 'back', 'pain', 'shooting', 'down', 'leg', 'to', 'his', 'knee', 'with', 'a', 'pain', 'scale', 'of', '<date>', 'the', 'injured', 'person', 'proceeded', 'to', 'drive', 'lv', 'back', 'to', 'the', 'drill', 'pattern', 'when', 'pain', 'increased', 'while', 'driving', 'down', 'the', 'ramp', 'when', 'the', 'injured', 'person', 'arrived', 'to', 'the', 'drill', 'pattern', 'the', 'pain', 'had', 'increased', 'to', '8/10']"
7496,Human,Gravitational,"injured_person left foot was in the direct line of fire between the pallet and the floor. injured_person miss judged placement of foot. Upon releasing pallet jack, the pallet has contacted top of boot causing a bruising on foot.


","['injured', 'person', 'left', 'foot', 'was', 'in', 'the', 'direct', 'line', 'of', 'fire', 'between', 'the', 'pallet', 'and', 'the', 'floor', 'injured', 'person', 'miss', 'judged', 'placement', 'of', 'foot', 'upon', 'releasing', 'pallet', 'jack', 'the', 'pallet', 'has', 'contacted', 'top', 'of', 'boot', 'causing', 'a', 'bruising', 'on', 'foot']"
1072,Human,Gravitational,New boots have caused blisters on an employees foot.,"['new', 'boots', 'have', 'caused', 'blisters', 'on', 'an', 'employees', 'foot']"
16409,Human,Gravitational,"injured_person bent over to dump Flotation tank and in doing so his helmet started to fall of his head. In the motion of catching his helmet injured_person knocked head on beam, causing small superficial abrasion.","['injured', 'person', 'bent', 'over', 'to', 'dump', 'flotation', 'tank', 'and', 'in', 'doing', 'so', 'his', 'helmet', 'started', 'to', 'fall', 'of', 'his', 'head', 'in', 'the', 'motion', 'of', 'catching', 'his', 'helmet', 'injured', 'person', 'knocked', 'head', 'on', 'beam', 'causing', 'small', 'superficial', 'abrasion']"
503,Object,Gravitational,Whilst tramming DR26 out of Central pit – the carousel support bar failed causing a drill rod to dislodge from the carousel. The driller immediately parked the rig in a safe location and shut it down. He then contacted his supervisor to report the event.,"['whilst', 'tramming', 'dr26', 'out', 'of', 'central', 'pit', 'the', 'carousel', 'support', 'bar', 'failed', 'causing', 'a', 'drill', 'rod', 'to', 'dislodge', 'from', 'the', 'carousel', 'the', 'driller', 'immediately', 'parked', 'the', 'rig', 'in', 'a', 'safe', 'location', 'and', 'shut', 'it', 'down', 'he', 'then', 'contacted', 'his', 'supervisor', 'to', 'report', 'the', 'event']"
37108,Object,Gravitational,The Processing Ops team shutdown DMS 2 in order to replace blocked screen panels. Once DMS 2 plant was shut down the injured_person placed an air spear into the correct media tank to provide air agitation and keep the FeSi suspended in solution. The air spear was placed down into the tank through a small gap between the grid mesh and top of the tank. The injured_person has given the instruction to a second operator to turn the air line on. The second operator has turned the air line on 1/3. The air spear has then jolted back out of the correct media tank hitting the injured_person in the right arm. The second operator who seen this turned the air off and the injured_person readjusted the air spear and tied it off securing it from movement.  ,"['the', 'processing', 'ops', 'team', 'shutdown', 'dms', '<num>', 'in', 'order', 'to', 'replace', 'blocked', 'screen', 'panels', 'once', 'dms', '<num>', 'plant', 'was', 'shut', 'down', 'the', 'injured', 'person', 'placed', 'an', 'air', 'spear', 'into', 'the', 'correct', 'media', 'tank', 'to', 'provide', 'air', 'agitation', 'and', 'keep', 'the', 'fesi', 'suspended', 'in', 'solution', 'the', 'air', 'spear', 'was', 'placed', 'down', 'into', 'the', 'tank', 'through', 'a', 'small', 'gap', 'between', 'the', 'grid', 'mesh', 'and', 'top', 'of', 'the', 'tank', 'the', 'injured', 'person', 'has', 'given', 'the', 'instruction', 'to', 'a', 'second', 'operator', 'to', 'turn', 'the', 'air', 'line', 'on', 'the', 'second', 'operator', 'has', 'turned', 'the', 'air', 'line', 'on', '1/3', 'the', 'air', 'spear', 'has', 'then', 'jolted', 'back', 'out', 'of', 'the', 'correct', 'media', 'tank', 'hitting', 'the', 'injured', 'person', 'in', 'the', 'right', 'arm', 'the', 'second', 'operator', 'who', 'seen', 'this', 'turned', 'the', 'air', 'off', 'and', 'the', 'injured', 'person', 'readjusted', 'the', 'air', 'spear', 'and', 'tied', 'it', 'off', 'securing', 'it', 'from', 'movement']"
46446,Object,Gravitational,"During the unload of a Silverstone Fuel tank from a drop deck trailer using a 25T franna crane, the load has rotated during the lift and has made contact with the windscreen of the franna causing damage. Two ratchet straps were still attatched to the RHS of the fuel tank prior to lifting and have caught onto the trailer once the fuel tank lift has commenced. During the ascension of the fuel tank the ratchet straps have released from where they had caught on the trailer and the release of tension has caused the fuel tank to rotate and has subsequently contacted the franna crane windscreen causing damage. ","['during', 'the', 'unload', 'of', 'a', 'silverstone', 'fuel', 'tank', 'from', 'a', 'drop', 'deck', 'trailer', 'using', 'a', '25t', 'franna', 'crane', 'the', 'load', 'has', 'rotated', 'during', 'the', 'lift', 'and', 'has', 'made', 'contact', 'with', 'the', 'windscreen', 'of', 'the', 'franna', 'causing', 'damage', 'two', 'ratchet', 'straps', 'were', 'still', 'attatched', 'to', 'the', 'rhs', 'of', 'the', 'fuel', 'tank', 'prior', 'to', 'lifting', 'and', 'have', 'caught', 'onto', 'the', 'trailer', 'once', 'the', 'fuel', 'tank', 'lift', 'has', 'commenced', 'during', 'the', 'ascension', 'of', 'the', 'fuel', 'tank', 'the', 'ratchet', 'straps', 'have', 'released', 'from', 'where', 'they', 'had', 'caught', 'on', 'the', 'trailer', 'and', 'the', 'release', 'of', 'tension', 'has', 'caused', 'the', 'fuel', 'tank', 'to', 'rotate', 'and', 'has', 'subsequently', 'contacted', 'the', 'franna', 'crane', 'windscreen', 'causing', 'damage']"
